5, 44.1689133644104,			-4.0667,1.3168,1.3226,1.3245,1.3211,1.3149,0.0005
6, 44.1689133644104,			1.3216,1.3283,1.3157,1.321,1.3241,1.311,-0.0102
7, 44.1689133644104,			-5.5161,4.0208,-1.3396,4.0244,-1.2138,2.539,-0.0003
0, 46.3048632144928,			1.3275,1.3187,1.3295,1.3178,1.3251,1.3194,0.0014
1, 46.3048632144928,			1.3218,1.3169,1.3157,1.3253,1.3208,1.3175,-0.0006
2, 46.3048632144928,			1.321,1.3154,1.3266,1.3146,1.3183,1.3202,0.0009
3, 46.3048632144928,			1.2915,1.3453,2.7474,-0.0971,1.3007,1.2864,0.0559
4, 46.3048632144928,			-0.0014,-2.7468,1.3207,1.3248,1.3155,1.3216,-0.0047
5, 46.3048632144928,			-4.0667,1.3168,1.3277,1.3194,1.3211,1.3149,0.0005
6, 46.3048632144928,			1.3216,1.3283,1.3208,1.3159,1.3292,1.3059,-0.0051
7, 46.3048632144928,			-5.4853,4.0208,-1.3396,4.0244,-1.2087,2.5339,-0.0003
0, 48.32309937477112,			1.3275,1.3238,1.3243,1.3178,1.3199,1.3245,0.0014
1, 48.32309937477112,			1.3167,1.322,1.3106,1.3253,1.3208,1.3176,-0.0006
2, 48.32309937477112,			1.3262,1.3154,1.3266,1.3146,1.3234,1.3203,0.0009
3, 48.32309937477112,			1.2864,1.3504,2.7423,-0.0971,1.3007,1.2915,0.0508
4, 48.32309937477112,			-0.0065,-2.7418,1.3208,1.3197,1.3206,1.3216,-0.0047
5, 48.32309937477112,			-4.0769,1.3219,1.3226,1.3245,1.3211,1.3149,0.0056
6, 48.32309937477112,			1.3216,1.3283,1.3157,1.321,1.3241,1.311,-0.0102
7, 48.32309937477112,			-5.4956,4.0157,-1.3345,4.0295,-1.2138,2.5339,-0.0003
0, 50.520344495773315,			1.3223,1.3187,1.3295,1.3178,1.3251,1.3194,0.0014
1, 50.520344495773315,			1.3218,1.322,1.3106,1.3253,1.3208,1.3175,-0.0057
2, 50.520344495773315,			1.3261,1.3103,1.3266,1.3146,1.3183,1.3202,0.006
3, 50.520344495773315,			1.2864,1.3504,2.7474,-0.0971,1.3007,1.2864,0.0559
4, 50.520344495773315,			-0.0014,-2.7468,1.3207,1.3248,1.3206,1.3165,-0.0047
5, 50.520344495773315,			-4.0718,1.3219,1.3226,1.3245,1.3211,1.3149,0.0005
6, 50.520344495773315,			1.3267,1.3232,1.3208,1.321,1.3241,1.311,-0.0102
7, 50.520344495773315,			-5.5007,4.0208,-1.3396,4.0295,-1.2138,2.5339,0.0048
0, 52.54330492019653,			1.3275,1.3187,1.3243,1.3178,1.3251,1.3245,-0.0037
1, 52.54330492019653,			1.3218,1.3169,1.3157,1.3253,1.3208,1.3175,-0.0057
2, 52.54330492019653,			1.321,1.3154,1.3266,1.3146,1.3183,1.3202,0.0009
3, 52.54330492019653,			1.2915,1.3555,2.7423,-0.0971,1.3007,1.2864,0.0559
4, 52.54330492019653,			-0.0065,-2.7468,1.3207,1.3248,1.3155,1.3216,0.0004
5, 52.54330492019653,			-4.0667,1.3168,1.3226,1.3296,1.316,1.3149,0.0005
6, 52.54330492019653,			1.3216,1.3283,1.3208,1.3159,1.3241,1.3059,-0.0051
7, 52.54330492019653,			-5.4853,4.0157,-1.3396,4.0295,-1.2087,2.539,-0.0003
